"t","eh"
2,2.016666666666667
2.2103658536585367,2.5083333333333337
2.4207317073170733,2.95
2.6402439024390247,3.291666666666667
2.8414634146341466,3.516666666666667
3.0609756097560976,3.6916666666666673
3.2621951219512195,3.7583333333333337
3.477134146341464,3.7750000000000004
3.6829268292682924,3.7500000000000004
3.897865853658536,3.6833333333333336
4.103658536585366,3.583333333333334
4.323170731707317,3.483333333333334
4.533536585365853,3.3500000000000005
4.7439024390243905,3.208333333333334
4.954268292682927,3.0500000000000003
5.164634146341463,2.9083333333333337
5.375,2.7583333333333337
5.585365853658537,2.6333333333333337
5.795731707317072,2.5083333333333337
6.015243902439025,2.3833333333333337
6.216463414634147,2.2583333333333337
6.426829268292682,2.141666666666667
6.646341463414634,2.0250000000000004
6.847560975609756,1.916666666666667
7.057926829268293,1.808333333333334
7.268292682926829,1.708333333333334
7.478658536585366,1.6
7.689024390243903,1.5083333333333337
7.89939024390244,1.4000000000000004
8.11890243902439,1.291666666666667

